Year,Rank,Artist,Title
1968,1,Roland W.,Monja
1968,2,John Fred & His Playboy Band,Judy In Disguise (With Glasses)
1968,3,Bee Gees,Words
1968,4,The Beatles,Lady Madonna
1968,5,Tom Jones,Delilah
1968,6,Engelbert,A Man Without Love
1968,7,Les Sauterelles,Heavenly Club
1968,8,The Beatles,Hey Jude
1968,9,Mary Hopkin,Those Were The Days
1968,10,Joe Cocker,With A Little Help From My Friends
1969,1,Barry Ryan,Eloise
1969,2,The Beatles,"Ob-La-Di, Ob-La-Da"
1969,3,Tommy James And The Shondells,Crimson And Clover
1969,4,Donovan,Atlantis
1969,5,The Hollies,Sorry Suzanne
1969,6,The Beatles with Billy Preston,Get Back
1969,7,The Beatles,The Ballad Of John And Yoko
1969,8,The Edwin Hawkins Singers,"Oh, Happy Day"
1969,9,Sir Douglas Quintet,Mendocino
1969,10,Elvis Presley,In The Ghetto
1970,1,Miguel Rios,A Song Of Joy
1970,2,Mungo Jerry,In The Summertime
1970,3,Simon & Garfunkel,El condor pasa
1970,4,The Beatles,Let It Be
1970,5,Tee Set,Ma belle amie
1970,6,The Soulful Dynamics,Mademoiselle Ninette
1970,7,Ennio Morricone,Spiel mir das Lied vom Tod (Jill's Theme)
1970,8,Creedence Clearwater Revival,Travelin' Band
1970,9,Steam,Na Na Hey Hey Kiss Him Goodbye
1970,10,Deep Purple,Black Night
1971,1,Middle Of The Road,Chirpy Chirpy Cheep Cheep
1971,2,George Harrison,My Sweet Lord
1971,3,Lynn Anderson,Rose Garden
1971,4,Pop Tops,Mamy Blue
1971,5,Danyel Gérard,Butterfly
1971,6,The Sweet,Co-Co
1971,7,T. Rex,Hot Love
1971,8,Creedence Clearwater Revival,Sweet Hitch-Hiker
1971,9,Peret,Borriquito...
1971,10,Pepe Lienhard,Sheila Baby
1972,1,Hot Butter,Popcorn
1972,2,Middle Of The Road,Sacramento
1972,3,The Cats,One Way Wind
1972,4,Vicky Leandros,Après toi
1972,5,Mouth & MacNeal,How Do You Do
1972,6,Mouth & MacNeal,Hello-A
1972,7,Neil Diamond,Song Sung Blue
1972,8,Hawkwind,Silver Machine
1972,9,Springwater,I Will Return
1972,10,Juliane Werding,Am Tag als Conny Kramer starb
1973,1,Demis Roussos,"Goodbye, My Love, Goodbye"
1973,2,The Rolling Stones,Angie
1973,3,Bernd Clüver,Der Junge mit der Mundharmonika
1973,4,Suzi Quatro,Can The Can
1973,5,Gilbert O'Sullivan,Get Down
1973,6,The Les Humphries Singers,Mama Loo
1973,7,Elton John,Crocodile Rock
1973,8,Monica Morell,Ich fange nie mehr was an einem Sonntag an
1973,9,Vicky Leandros,Die Bouzouki klang durch die Sommernacht
1973,10,Suzi Quatro,48 Crash
1974,1,Terry Jacks,Seasons In The Sun
1974,2,ABBA,Waterloo
1974,3,The Rubettes,Sugar Baby Love
1974,4,Cash And Carry,Tchip Tchip
1974,5,Dalida,Gigi l'amoroso (Gigi l'amour)
1974,6,The Les Humphries Singers,Kansas City
1974,7,George McCrae,Rock Your Baby
1974,8,Marvin Hamlisch,The Entertainer
